clutch_clients,clutch_location,clutch_score,name
,"Lake Oswego, OR",4.9,"Unosquare, LLC"
Vivino - #1 wine app/platform in the world (Danmark/USA);  HPe - an American multinational enterprise information technology company Blexr - leading affiliate marketing company;,"Amsterdam, Netherlands",4.8,Symphony Solutions
,"Lake Oswego, OR",4.9,"Unosquare, LLC"
Vivino - #1 wine app/platform in the world (Danmark/USA);  HPe - an American multinational enterprise information technology company Blexr - leading affiliate marketing company;,"Amsterdam, Netherlands",4.8,Symphony Solutions
,"Lake Oswego, OR",4.9,"Unosquare, LLC"
Vivino - #1 wine app/platform in the world (Danmark/USA);  HPe - an American multinational enterprise information technology company Blexr - leading affiliate marketing company;,"Amsterdam, Netherlands",4.8,Symphony Solutions
 Ticketbooth Boatsetter Trumedia Blade IBSS Curacao Ticket to go FutureED FOS Motivapp Metacert Pepper Leaf  ,"Saltillo, Mexico",4.9,ClickIT Smart Technologies
,"Atlanta, GA",5.0,delaPlex
 Ticketbooth Boatsetter Trumedia Blade IBSS Curacao Ticket to go FutureED FOS Motivapp Metacert Pepper Leaf  ,"Saltillo, Mexico",4.9,ClickIT Smart Technologies
,"Atlanta, GA",5.0,delaPlex
"Willis Towers Watson, Bridgestone, Bank al Etihad, Verisense, Lean Business Services, BriteCore, BenefitNet, Riskville, WebSpin360, Insubiz, Crowdsurfr, NextCom, TeamBase, Total Image Group, SimpleTix, ApexSQL, Gunnebo Ab,","Kyiv, Ukraine",4.8,Diceus
" Automobile (Honda) Digital Marketing (SQ1, Owen Media) Finance (Always Money) Fortune 500 (Samsung, Motorola, Yahoo, GE Money) HealthCare & Wellness Providers (Dental Warranty, CareNow) Hotel (Hyatt, Marriott) ISVs Manufacturing (Thermaflite) Non-profit Pharmaceuticals Real Estate Restaurant (Jack in the Box, Genghis Grill) Small and Medium Businesses Software (Ergos, MOGO) Travel (One Travel, American Tours), University (Boston, Collin, Auckland) Government (United Nations) ","Plano, TX",4.9,ISHIR
 Visualization Framework for Tech Giant Enterprise Resource Planning Software for SMEs Asset Ease Enterprise Messaging System UK based Software Service Company Marketplace for Solar Industry Legal Witness App ,"Raleigh, NC",4.9,Successive Technologies
"Zurich University of the Arts, HeyJobs.co, GrowthMentor, Vehiculum.de, Verivox.de, BookingSync, GetSafe, a-connect, Memorado, Melod.ie, Kleany.de, 1FORhunger, Stewardly.ca, Docflix.tv, Glazziq.com, Certace.com, WhatToMine, Shelly Cloud.","Lodz, Poland",4.8,Ragnarson
,"Kharkiv, Ukraine",5.0,CHI Software
" VES Environmental Solutions, Milk Specialties Global, UnitedHealth Group, Periscope, JCPenney, Trivago, COX, Grazianos, Spacebase, COMPAS ","Montevideo, Uruguay",4.9,Octobot
