company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,website
1-800 CONTACTS,15253.0,1-800 CONTACTS,1.001-5.000 funcionários,1.0,"Draper, Utah",Bens de consumo,7,https://www.linkedin.com/company/15253/about/,,http://www.1800contacts.com
,,1234 Microtechnologies Inc,,0.0,,,,,,
,,"140 Proof, Inc.",,0.0,,,,,,
,,18 Rabbits Inc.,,0.0,,,,,,
21e6,67922644.0,21e6 LLC,11-50 funcionários,1.0,"Pfäffikon, Schwyz",Serviços financeiros,not found,https://www.linkedin.com/company/67922644/about/,"Blockchain, Distributed Ledger Technology, Institutional Investors, Qualified Investors, Crypto Custody, Cryptocurrency, Asset Management, Bitcoin e Ether",http://21e6.io/
3D BIKEFIT LLC,15641164.0,3d Bikefit LLC,11-50 funcionários,1.0,"SAN FRANCISCO, California",,not found,https://www.linkedin.com/company/15641164/about/,,http://3dbikefit.com
3form,22452.0,3form,201-500 funcionários,1.0,"Salt Lake City, Utah",Materiais de construção,2,https://www.linkedin.com/company/22452/about/,"Material solutions, Material Engineering, Custom Material Manufacturing, Custom Installation Solutions, Resin, Translucent Materials, Privacy Partitions, Exteriors, Acoustics, Decorative Ceilings, Decorative Wall Features, Office Solutions, Healthcare Design e Hospitality Design",http://www.3-form.com
3Q Digital,264114.0,3Q Digital,201-500 funcionários,1.0,"Chicago, IL",Marketing e publicidade,3,https://www.linkedin.com/company/264114/about/,"sem, search engine marketing, ppc, adwords, google, pay per click, online advertising, display advertising, facebook advertising, mobile advertising, SEO, social advertising e analytics",https://www.3qdigital.com
,,3rd Element Consulting  INC.,,0.0,,,,,,
,,42floors Inc.,,0.0,,,,,,
4505 Meats,1777041.0,4505 Meats LLC,11-50 funcionários,1.0,"San Francisco, California",Alimentos e bebidas,not found,https://www.linkedin.com/company/1777041/about/,Consumer Packaged Goods,http://4505meats.com
5K Technical Services,10857945.0,5K Technical Services,2-10 funcionários,1.0,"Plano, Texas",Segurança de redes e computadores,not found,https://www.linkedin.com/company/10857945/about/,"Computer Support, Network Support, IT Support, Backup and Disaster Recovery, Business Continuity, Unified Communicaitons, IT Consulting e and Email Filtering and Archive",http://www.5ktech.com
,,5minspec,,0.0,,,,,,
7-Eleven,6176.0,7-Eleven,+ de 10.001 funcionários,1.0,"Irving, TX",Varejo,30,https://www.linkedin.com/company/6176/about/,"Retail, convenience, franchise, jobs, international, license, food e beverage",http://www.7-eleven.com
"7-ELEVEN BEVERAGE COMPANY, INC.",58753330.0,"7-Eleven, Inc.",11-50 funcionários,1.0,"Dallas, Texas",,not found,https://www.linkedin.com/company/58753330/about/,,
729 Solutions - Engineering Amazing Technology,3010046.0,729 Solutions,11-50 funcionários,1.0,"San Francisco, CA",Tecnologia da informação e serviços,not found,https://www.linkedin.com/company/3010046/about/,"Software Development, Agile Methodologies, Mobile Development, Web Development, Graphic Design, DevOps, UI/UX e cloudfront",http://www.729solutions.com
Amazon,1586.0,A & S Engineers Inc.,+ de 10.001 funcionários,1.0,"Seattle, WA",Internet,11.454,https://www.linkedin.com/company/1586/about/,"e-Commerce, Retail, Operations e Internet",http://www.amazon.com
,,A B C Language School,,0.0,,,,,,
A-Taylor Made Window,7095543.0,A-Taylor Made Window,2-10 funcionários,1.0,"Richmond, California",Construção,not found,https://www.linkedin.com/company/7095543/about/,"Window Installation Service, Door Supplier, Window Supplier, Window Replacement, Door Replacement, Vinyl Windows, Wood Windows, Aluminum Windows e Fiberglass Windows",https://www.ataylormadewindow.com/
,,a2zbusinessit.com,,0.0,,,,,,
AbbVie,1304385.0,AbbVie,+ de 10.001 funcionários,1.0,"North Chicago, Illinois",Indústria farmacêutica,290,https://www.linkedin.com/company/1304385/about/,"Biopharmaceutical, Biotechnology, Innovation, Research and Development, Manufacturing, Biotherapeutics, Oncology, Immunology, Virology, Neuroscience e Womens Health",http://www.abbvie.com
"Able-Services, Inc.",5373009.0,"Able Services, Inc.",11-50 funcionários,1.0,"York, PA",Atendimento ao consumidor,not found,https://www.linkedin.com/company/5373009/about/,"Day Program for Adults with Special Needs, On-Site Commercial Greenhouse, Caring and Welcoming Environment, Activities of Daily Living, Social Skills, Self-Advocacy, Health/Nutrition Education, Communication Skills, Independent Living Skills e Community Participation Services",http://www.able-services.org
ABM Industries,162238.0,ABM Industries,+ de 10.001 funcionários,1.0,,Administração de serviços,68,https://www.linkedin.com/company/162238/about/,"Electrical & Lighting, Energy, HVAC & Mechanical, Integrated Facility Solutions, Janitorial, Facilities Engineering, Parking & Transportation, Clinical Engineering, Landscape & Turf, Mission Critical Solutions, Education, Technical Solutions, Aviation, Business & Industry, Technology & Manufacturing e Healthcare",http://www.abm.com
ABNB Federal Credit Union,1572816.0,ABNB Federal Credit Union,201-500 funcionários,1.0,"Chesapeake, VA",Serviços financeiros,not found,https://www.linkedin.com/company/1572816/about/,"Financial Literacy, Financial Counseling, Balance Transfer, Mortgages, Auto Lending e Business Services",http://www.abnbfcu.org
AC Transit,26741.0,Ac Transit,1.001-5.000 funcionários,1.0,"Oakland, CA",Transporte/Caminhões/Trens,not found,https://www.linkedin.com/company/26741/about/,Premier transportation authority for Alameda and Contra Costa counties,http://www.actransit.org
Acacia Communications Inc.,786603.0,Acacia Communications Inc.,201-500 funcionários,1.0,"Maynard, MA",Telecomunicações,18,https://www.linkedin.com/company/786603/about/,"Digital Signal Processing, Optical Transmission, Telecommunications, Optical Networking, Optical Components, Coherent Optics, Siliconization of Optical Interconnect e Silicon Photonic",http://www.acacia-inc.com
Academia Virtual de Facilitação,2736760.0,Academia Inc,2-10 funcionários,1.0,"São Paulo, São Paulo",Treinamento e orientação profissional,not found,https://www.linkedin.com/company/2736760/about/,"Treinamento, Consultoria de treinamento, Faciltação Virtual, Facilitação Online e Desenvolvimento de Pessoas",http://www.academiavirtualdefacilitacao.com
Accelerance,395536.0,Accelerance,11-50 funcionários,1.0,"Redwood City, CA",Software,not found,https://www.linkedin.com/company/395536/about/,"Software Development, Offshore Software Development, Software Outsourcing, Nearshore Software Development, Software Development Outsourcing, Custom Software Development, Virtual Reality, Cybersecurity, Agile Development, Digital Transformation, Staff Augementation e Team Extension",http://www.Accelerance.com
"Accelerated Technology Laboratories, Inc.",2501616.0,Accelerated Technology Laboratories,11-50 funcionários,1.0,"West End, NC",Software,not found,https://www.linkedin.com/company/2501616/about/,"Laboratory Information Management Systems - software and hardware solutions, Instrument Integration, LIMS- Automation - Enterprise Integration, Positive ID, 1D, 2D Barcodes and RFID, Laboratory Needs Assessments, SaaS Solutions, Gene Sequencing Software e Laboratory Automation",http://www.atlab.com
Accenture,1033.0,Accent,+ de 10.001 funcionários,1.0,,Tecnologia da informação e serviços,2.416,https://www.linkedin.com/company/1033/about/,"Management Consulting, Systems Integration and Technology, Business Process Outsourcing e Application and Infrastructure Outsourcing",http://www.accenture.com
AGF Access Group Inc.,3768094.0,Access Group Inc.,201-500 funcionários,1.0,"Richmond, British Columbia",Construção,not found,https://www.linkedin.com/company/3768094/about/,"Exterior Building Access and Scaffold, Mast Climbing Platform Systems, Swing Stage and Suspended Platform Systems e Construction, Renovation, Masonry, Glazing, Cladding, Oil & Gas, Infrastructure, LNG, Hydro",http://www.agfaccess.com
Access IS,449699.0,Access IS,51-200 funcionários,1.0,"Reading, Berkshire",Manufatura de eletroeletrônicos,not found,https://www.linkedin.com/company/449699/about/,"2D Barcode Readers, Custom & Specialist Keyboards, Check In & Boarding Gate Readers, Industrial Rugged Keyboards, ePassport & eID Readers, Cherry Keyboards, Kiosk OEM Readers, Mobile Passport & ID Doc Reading, OCR Readers e Mag Swipe Readers (MSRs) / Writers",http://www.access-is.com
