company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,country
Monzo Bank,9471107.0,Monzo,1.001-5.000 funcionários,1.0,"London, England",Bancos,,https://www.linkedin.com/company/9471107/about/,"Digital Retail Bank, Fintech, digital banking e smartphone",389,http://monzo.com,United Kingdom
Starling Bank,9180896.0,Starling Bank,201-500 funcionários,1.0,"London, London",Bancos,,https://www.linkedin.com/company/9180896/about/,"FinTech, Mobile Banking, Finance e Banking",14,http://www.starlingbank.com,United Kingdom
Ally Financial Services,1814222.0,Ally Financial,,1.0,,Serviços financeiros,,https://www.linkedin.com/company/1814222/about/,,NF,,not found
Tandem Corp,1575418.0,Tandem,501-1.000 funcionários,1.0,"Malvern, VIC",Consultoria de gerenciamento,,https://www.linkedin.com/company/1575418/about/,"Transformation of Contractor Workforces, Industrial Relations, Management of Contractor Workforces, Communications, HSE, Logistics & Procurement, Installation & Maintenance, Design & CAD, Construction, MDU Connections e Transition Call Centre Management",NF,http://www.tandemcorp.com,Australia
Tide,10877408.0,Tide,501-1.000 funcionários,1.0,"London, England",Serviços financeiros,,https://www.linkedin.com/company/10877408/about/,,126,https://www.tide.co,United Kingdom
N26,3116425.0,N26,1.001-5.000 funcionários,1.0,"Berlin, Berlin",Serviços financeiros,6.0,https://www.linkedin.com/company/3116425/about/,"Mobile Banking, Fintech e Financial Services",163,https://n26.com/,Germany
Atom,20423550.0,Atom,11-50 funcionários,1.0,"Gurgaon, Haryana",Software,,https://www.linkedin.com/company/20423550/about/,,1,http://theatom.app,India
Dwolla,955402.0,Dwolla,51-200 funcionários,1.0,"Des Moines, Iowa",Software,7.0,https://www.linkedin.com/company/955402/about/,"Payments API, ACH API, Payment Network, Mass Payments, ACH Payments, Payments Dashboard, Same Day ACH, Bank Transfers e Mass Payouts",16,http://www.dwolla.com,United States
Venmo,552278.0,Venmo,201-500 funcionários,1.0,"New York, NY",Serviços financeiros,20.0,https://www.linkedin.com/company/552278/about/,"Mobile Payments, Social Payments, Convenient Payments, Text Message Payments, FinTech, P2P Payments e App",27,http://www.venmo.com,United States
PayPal,1482.0,PayPal,+ de 10.001 funcionários,1.0,"San Jose, CA",Internet,194.0,https://www.linkedin.com/company/1482/about/,"Online Payments, Mobile Commerce, Payment Security, Money Transfers, Payment Processing, Monetization for Developers e E-commerce",1.282,http://www.paypal.com,
West Capital Partners Paydiant LLC,53777266.0,Paydiant,11-50 funcionários,1.0,"Cincinnati, Ohio",,,https://www.linkedin.com/company/53777266/about/,,NF,,United States
,,AZA Group (also known as BitPesa),,0.0,,,,,,,,not found
WorldRemit,1919522.0,WorldRemit,1.001-5.000 funcionários,1.0,"London, England",Serviços financeiros,,https://www.linkedin.com/company/1919522/about/,"Online Money Transfer, Technology, Remittances, Apps, Payments, Fintech e Financial Services",59,https://www.worldremit.com,United Kingdom
Stripe,2135371.0,Stripe,1.001-5.000 funcionários,1.0,"San Francisco, California",Internet,452.0,https://www.linkedin.com/company/2135371/about/,,1.048,https://stripe.com,United States
Braintree,1310825.0,Braintree,501-1.000 funcionários,1.0,"Chicago, IL",Serviços financeiros,13.0,https://www.linkedin.com/company/1310825/about/,,15,http://www.braintreepayments.com,United States
Klarna,748731.0,Klarna,1.001-5.000 funcionários,1.0,,Serviços financeiros,14.0,https://www.linkedin.com/company/748731/about/,"Online Payments, IT Development, Data Analysis, Expansion, E-commerce, International Sales e Retail",230,http://www.klarna.com,not found
,,Chase Pay,,0.0,,,,,,,,not found
Azimo,2612810.0,Azimo,51-200 funcionários,1.0,"London, London",Serviços financeiros,,https://www.linkedin.com/company/2612810/about/,"online money transfer, remittance, mobile, currency exchange e fintech",4,http://www.azimo.com,United Kingdom
"Xoom, A PayPal Service",13308.0,Xoom,201-500 funcionários,1.0,"San Francisco, CA",Serviços financeiros,,https://www.linkedin.com/company/13308/about/,Digital Global Money Services,21,http://www.xoom.com,
iZettle Representantes,53105550.0,iZettle,501-1.000 funcionários,1.0,"São Paulo, SP",Serviços financeiros,,https://www.linkedin.com/company/53105550/about/,,NF,http://www.representantesizettle.com.br/,Brazil
Square,675562.0,Square,1.001-5.000 funcionários,1.0,"San Francisco, CA",Internet,168.0,https://www.linkedin.com/company/675562/about/,,402,http://squareup.com,
Adyen,279565.0,Adyen,1.001-5.000 funcionários,1.0,"Amsterdam, North Holland",Serviços financeiros,20.0,https://www.linkedin.com/company/279565/about/,"online payment service, online payment system, online payment processing, payment service provider, online payment solution, online payment gateway, merchant services, mobile payments, Point-of-Sale payments, global acquiring, risk management, ecommerce, card terminals, card payments, compliance e Checkout",135,https://www.adyen.com,Netherlands
ShopKeep by Lightspeed,512844.0,ShopKeep,201-500 funcionários,1.0,"New York, NY",Software,,https://www.linkedin.com/company/512844/about/,"iPad Point of Sale, IPad cash register, Cloud POS, Mobile POS, POS System e POS software",5,http://www.shopkeep.com,United States
Remitly,2261199.0,Remitly,1.001-5.000 funcionários,1.0,"Seattle, Washington",Serviços financeiros,27.0,https://www.linkedin.com/company/2261199/about/,"Mobile Payments, Remittance, Digital Money Transfer e fintech",87,http://www.remitly.com,United States
Wise Ltd.,1769571.0,Transferwise,1.001-5.000 funcionários,1.0,,Serviços financeiros,4.0,https://www.linkedin.com/company/1769571/about/,"money transfer, currency exchange, foreign currency, crowdsourcing, peer-to-peer, fintech, finance, technology, tech, culture, P2P, startup, consumer services, start-up, start up, financial technology, mission, purpose, autonomy e borderless",142,https://wise.com/?&utm_medium=organic_social&utm_source=LinkedIn&utm_campaign=AllProduct&utm_content=_LIPageButton,not found
Betterment,487830.0,Betterment,201-500 funcionários,1.0,"New York, New York",Serviços financeiros,4.0,https://www.linkedin.com/company/487830/about/,"Investing, Online brokerage, Investment advice, Savings, Financial advice, Retirement advice, Automated investing, Checking e Money management",14,http://www.betterment.com,United States
Vanguard,3184.0,Vanguard,+ de 10.001 funcionários,1.0,"Valley Forge, PA",Serviços financeiros,148.0,https://www.linkedin.com/company/3184/about/,,346,http://www.vanguard.com,United States
Moneyfarm,1789673.0,Moneyfarm,51-200 funcionários,1.0,"London, Greater London",Serviços financeiros,,https://www.linkedin.com/company/1789673/about/,"Investments, Asset Allocation, Wealth Management, ETFs, Personal Finance e Savings",4,http://www.moneyfarm.com,United Kingdom
Robinhood,3254263.0,Robinhood,501-1.000 funcionários,1.0,"Menlo Park, California",Serviços financeiros,88.0,https://www.linkedin.com/company/3254263/about/,,174,http://www.robinhood.com,United States
Advizr ,3109166.0,Advizr,11-50 funcionários,1.0,,Serviços financeiros,,https://www.linkedin.com/company/3109166/about/,Financial Planning Software e Wealth Management Technology,NF,http://www.orionadvisortech.com,not found
Nutmeg,2260443.0,Nutmeg,51-200 funcionários,1.0,,Serviços financeiros,,https://www.linkedin.com/company/2260443/about/,"Investing, Finance, Money management, ISA, Pensions, Socially Responsible Investing, LISA, Tax, Wealth management, investment management, robo-advisor, robo-adviser e Fintech",9,http://www.nutmeg.com,not found
Wealthfront,219483.0,Wealthfront,51-200 funcionários,1.0,"Palo Alto, California",Serviços financeiros,13.0,https://www.linkedin.com/company/219483/about/,"personal finance, investment management, portfolio management, software e financial planning",23,https://www.wealthfront.com/,United States
Habito,10516648.0,Habito,51-200 funcionários,1.0,,Serviços financeiros,,https://www.linkedin.com/company/10516648/about/,,5,https://www.habito.com,not found
HydroGen,2644623.0,Hydrogen,11-50 funcionários,1.0,"Cardiff, Wales",Recursos renováveis e meio ambiente,,https://www.linkedin.com/company/2644623/about/,"Alternative Fuels, Power to Gas, Clean Power, H2 LOHC, H2 Logistics - Hydrogen Supply and Distribution, Advanced Energy Storage, H2 Refueling Stations, H2 Energy, H2 Renewables, H2 Mobility, H2 Marine - Maritime and Shipping e Hydrogen Systems and Solutions",NF,http://h2world.com,United Kingdom
SigFig,2341512.0,SigFig,201-500 funcionários,1.0,"San Francisco, California",Serviços financeiros,6.0,https://www.linkedin.com/company/2341512/about/,wealth management,7,http://www.sigfig.com,United States
Scalable Capital,6459769.0,Scalable Capital,51-200 funcionários,1.0,"München, Bayern",Serviços financeiros,,https://www.linkedin.com/company/6459769/about/,Digital investment management,3,http://www.scalable.capital,Germany
Intuit,1666.0,Mint,5.001-10.000 funcionários,1.0,"Mountain View, California",Software,317.0,https://www.linkedin.com/company/1666/about/,"Intuit  solves unmet needs that customers would never have dreamed possible.  Whether in the cloud (SaaS/PaaS), mobile, or data, we bring real-world solutions that change the way business is done around the world.",10.323,https://www.intuit.com/,United States
Wealthsimple,5208813.0,Wealthsimple,201-500 funcionários,1.0,"Toronto, ON",Serviços financeiros,,https://www.linkedin.com/company/5208813/about/,"wealth manager, financial advisor, investment manager, portfolio manager e investment adivsor",29,http://www.wealthsimple.com,Canada
Charles Schwab,1855.0,Charles Schwab,+ de 10.001 funcionários,1.0,"San Francisco, CA",Serviços financeiros,258.0,https://www.linkedin.com/company/1855/about/,"Brokerage, Banking, Financial Consulting, Financial Products and Services, Portfolio Management, Advisor Services, Retirement Plan Services, Specialty Brokerage Services e Mutual Fund Clearing Services",535,http://www.schwab.com,
Bought By Many,2718106.0,Bought by Many,51-200 funcionários,1.0,"London, London",Seguros,,https://www.linkedin.com/company/2718106/about/,"Insurance, Fintech, Insurtech e Pets",2,https://boughtbymany.com,United Kingdom
Slice Labs,10368001.0,Slice Labs,11-50 funcionários,1.0,"New York, NY",Tecnologia da informação e serviços,,https://www.linkedin.com/company/10368001/about/,,1,https://www.slice.is,United States
Shift Technology,3050787.0,Shift Technology,51-200 funcionários,1.0,"Paris, Île-de-France",Tecnologia da informação e serviços,3.0,https://www.linkedin.com/company/3050787/about/,"Mathematics, Computer Science, Big Data, Machine Learning, Artificial Intelligence e Insurance",38,http://www.shift-technology.com/,France
Cuvva,10361805.0,Cuvva,51-200 funcionários,1.0,,Seguros,,https://www.linkedin.com/company/10361805/about/,Insurance,17,https://cuvva.com,not found
