id,company,post_title,post_date,post_text,Tipo,Assunto,Modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
0,ciandt,,2021-02-11,"Em março de 2020, quando a população entrava em período de isolamento social, a Ânima Educação conseguiu, em seis dias, operar de forma totalmente online sem nenhuma aula perdida. Ao direcionar o seu foco para trabalhar cada etapa da experiência do aluno e investir em uma consistente jornada digital, a empresa fechou o terceiro trimestre com aumento de 5,8% na base de estudantes. Saiba mais sobre essa e outras histórias de sucesso durante a pandemia acessando o link:#inovacao #transformacaodigital'",Négocio,Transformação Digtal,Case,190,1,0,"#inovacao, #transformacaodigital'",linkedin
1,ciandt,,2021-02-16,"A semana começou diferente. Pela primeira vez em nossa história, recebemos 200 pessoas estagiárias que farão parte dos nossos times e projetos, colocando a mão na massa e tendo a oportunidade de conectar suas experiências universitárias a suas carreiras profissionais. Estamos muito felizes e sabemos que essa será uma jornada de impacto e um grande passo na construção de um amanhã ainda melhor. Quer saber mais sobre o nosso programa de estágio? Então acesse o link: https://lnkd.in/dX4dJSU #nextgen #maketheirtomorrow #weareciandt'",Employer Branding,Programa de Estágio,Post,392,47,3442,"#nextgen, #maketheirtomorrow, #weareciandt'",linkedin
3,ciandt,,2021-02-10,"Descubra como o Grupo Boticário, em parceria com a CI&T, engajou seus franqueados a utilizarem um novo sistema de gestão de franquias. O resultado incluiu eficiência na operação, além de dar autonomia e acesso a dados ao time de tecnologia do grupo, que vai possibilitar o desenvolvimento de ações pontuais para cada uma das lojas. Clique no link para conferir mais detalhes:'",Négocio,Cases,Case,365,5,0,,linkedin
4,ciandt,,2021-02-03,"No último ano, três atitudes se tornaram urgentes para lidar com as rápidas mudanças causadas pela pandemia: foco atento no consumidor, inteligência de dados e atuação colaborativa para tomada de decisões. Segundo nossa vice-presidente partner de operações, Solange Sobral, ""a inteligência analítica passou a ser mais valorizada, mais estratégica e voltada ao consumidor"". Confira como a Vivo (Telefônica Brasil), Liv Up e Holding Clube inovaram seus negócios e desenvolveram soluções rápidas para enfrentarem a crise: #transformacaodigital #pandemia #inovacao'",Négocio,Transformação Digital,Case,115,2,0,"#transformacaodigital, #pandemia, #inovacao'",linkedin
5,ciandt,,2021-01-18,"Cuidar e preservar a saúde das nossas pessoas é nossa prioridade. Pensando nisso, estendemos o home office até junho de 2021. Além disso, mesmo em um cenário pós pandemia, adotaremos um modelo de trabalho híbrido, no qual cada colaborador e colaboradora poderá dividir sua rotina entre nossos escritórios, sua casa ou em qualquer lugar do Brasil. De acordo com Carla Borges, Head de People aqui na CI&T, ""a decisão tem a ver com o poder de escolha, um pilar que queremos fortalecer ainda mais na nossa cultura"". Quer fazer parte do time? Confira as nossas mais de 340 vagas abertas. #vempraciandt #ciandt #vagas #oportunidade'",Employer Branding,Vagas,Post,847,36,0,"#vempraciandt, #ciandt, #vagas, #oportunidade'",linkedin
6,ciandt,,2021-01-27,"Fazer um amanhã ainda melhor também inclui impactar a vida de quem busca sua primeira oportunidade no mercado de trabalho. Foi com esse objetivo, que em dezembro de 2020 lançamos o programa Jovem Aprendiz, no qual selecionamos 10 jovens para iniciarem suas carreiras profissionais com a gente. Contamos com a parceria de organizações como a ABBA e Ceprocamp para indicação dos jovens, a Rede Cidadã e Instituto Ser + como instituições formadoras e a TechCamps nos apoiando com a formação dos novos CI&Ters em TI.  Serão 15 meses de capacitação nas áreas de tecnologia e administração, integração com nossos times e muita mão na massa! #jovemaprendiz #maketheirtomorrow #weareciandt'",Employer Branding,programa de estágio,Post,229,19,4009,"#jovemaprendiz, #maketheirtomorrow, #weareciandt'",linkedin
9,ciandt,,2021-02-03,"O Identidade Negra foi um programa criado a partir das nossas reflexões, questionamentos e ações afirmativas para promover a inclusão de pessoas negras nos nossos times. Mais do que contratar, a iniciativa foi pensada para destravar potenciais e  alavancar carreiras em tecnologia para continuarmos construindo um amanhã ainda melhor. #MakeTheirTomorrow #diversidadeeinclusao #weareciandt'",Employer Branding,Diversidade,Post,336,35,6850,"#MakeTheirTomorrow, #diversidadeeinclusao, #weareciandt'",linkedin
10,ciandt,,2021-02-10,"Saiba como a ConectCar Mobilidade Eletrônica S.A, empresa de meio de pagamento automático de mobilidade, reformulou toda a jornada de experiência do consumidor dentro do seu aplicativo e teve como um dos resultados a redução mais de 100% do custo de aquisição de cliente. Acesse o link para entender mais detalhes dessa mudança:#transformacaodigital #inovacao #jornadadoconsumidor'",Négocio,Transformação Digital,Case,109,3,0,"#transformacaodigital, #inovacao, #jornadadoconsumidor'",linkedin
11,ciandt,,2021-02-03,"Esses são os três conceitos que fazem parte da fundação da verdadeira cultura digital nas empresas. Em sua palestra para o TDC 2020, Gustavo Concon, nosso CTO, falou sobre como a jornada da transformação digital não é rápida e muito menos acontece em eventos isolados, compartilhando o que acredita ser importante para ter uma empresa preparada para constantes mudanças, e com mecanismos que permitam velocidade com estabilidade. Acesse na íntegra em: https://lnkd.in/dbDad-J#transformacaodigital #culturatech #inovacao'",Négocio,Transformação Digital,Post,261,3,0,"#transformacaodigital, #culturatech, #inovacao'",linkedin
12,ciandt,,2021-01-27,"Junte-se a nós, em 27/1, no Festival Agile Trends. Nossa Gerente Sênior, Larissa Rosochansky, vai bater um papo (em inglês) sobre Transformação Digital e como ela se correlaciona com a automação, detalhando cada etapa de como embarcar nesta jornada emocionante. Inscreva-se gratuitamente em: https://lnkd.in/dhv7DeB#transformacaodigital #agile #agiletrends'",Négocio,Agile,Eventos Externo,129,0,0,"#transformacaodigital, #agile, #agiletrends'",linkedin
