id,company,post_date,post_text,post_likes,post_comments,assunto,,,
0,ciandt,2021-02-11,"Em março de 2020, quando a população entrava em período de isolamento social, a Ânima Educação conseguiu, em seis dias, operar de forma totalmente online sem nenhuma aula perdida. Ao direcionar o seu foco para trabalhar cada etapa da experiência do aluno e investir em uma consistente jornada digital, a empresa fechou o terceiro trimestre com aumento de 5,8% na base de estudantes. Saiba mais sobre essa e outras histórias de sucesso durante a pandemia acessando o link:#inovacao #transformacaodigital'",190,1,Transformação Digital,,,
1,ciandt,2021-02-16,"A semana começou diferente. Pela primeira vez em nossa história, recebemos 200 pessoas estagiárias que farão parte dos nossos times e projetos, colocando a mão na massa e tendo a oportunidade de conectar suas experiências universitárias a suas carreiras profissionais. Estamos muito felizes e sabemos que essa será uma jornada de impacto e um grande passo na construção de um amanhã ainda melhor. Quer saber mais sobre o nosso programa de estágio? Então acesse o link: https://lnkd.in/dX4dJSU #nextgen #maketheirtomorrow #weareciandt'",392,47,Vagas,,,
3,ciandt,2021-02-10,"Descubra como o Grupo Boticário, em parceria com a CI&T, engajou seus franqueados a utilizarem um novo sistema de gestão de franquias. O resultado incluiu eficiência na operação, além de dar autonomia e acesso a dados ao time de tecnologia do grupo, que vai possibilitar o desenvolvimento de ações pontuais para cada uma das lojas. Clique no link para conferir mais detalhes:'",365,5,Segmentos de Mercado,,,
4,ciandt,2021-02-03,"No último ano, três atitudes se tornaram urgentes para lidar com as rápidas mudanças causadas pela pandemia: foco atento no consumidor, inteligência de dados e atuação colaborativa para tomada de decisões. Segundo nossa vice-presidente partner de operações, Solange Sobral, ""a inteligência analítica passou a ser mais valorizada, mais estratégica e voltada ao consumidor"". Confira como a Vivo (Telefônica Brasil), Liv Up e Holding Clube inovaram seus negócios e desenvolveram soluções rápidas para enfrentarem a crise: #transformacaodigital #pandemia #inovacao'",115,2,Transformação Digital,,,
5,ciandt,2021-01-18,"Cuidar e preservar a saúde das nossas pessoas é nossa prioridade. Pensando nisso, estendemos o home office até junho de 2021. Além disso, mesmo em um cenário pós pandemia, adotaremos um modelo de trabalho híbrido, no qual cada colaborador e colaboradora poderá dividir sua rotina entre nossos escritórios, sua casa ou em qualquer lugar do Brasil. De acordo com Carla Borges, Head de People aqui na CI&T, ""a decisão tem a ver com o poder de escolha, um pilar que queremos fortalecer ainda mais na nossa cultura"". Quer fazer parte do time? Confira as nossas mais de 340 vagas abertas. #vempraciandt #ciandt #vagas #oportunidade'",847,36,Carreira,,,
6,ciandt,2021-01-27,"Fazer um amanhã ainda melhor também inclui impactar a vida de quem busca sua primeira oportunidade no mercado de trabalho. Foi com esse objetivo, que em dezembro de 2020 lançamos o programa Jovem Aprendiz, no qual selecionamos 10 jovens para iniciarem suas carreiras profissionais com a gente. Contamos com a parceria de organizações como a ABBA e Ceprocamp para indicação dos jovens, a Rede Cidadã e Instituto Ser + como instituições formadoras e a TechCamps nos apoiando com a formação dos novos CI&Ters em TI.  Serão 15 meses de capacitação nas áreas de tecnologia e administração, integração com nossos times e muita mão na massa! #jovemaprendiz #maketheirtomorrow #weareciandt'",229,19,Carreira,,,
9,ciandt,2021-02-03,"O Identidade Negra foi um programa criado a partir das nossas reflexões, questionamentos e ações afirmativas para promover a inclusão de pessoas negras nos nossos times. Mais do que contratar, a iniciativa foi pensada para destravar potenciais e  alavancar carreiras em tecnologia para continuarmos construindo um amanhã ainda melhor. #MakeTheirTomorrow #diversidadeeinclusao #weareciandt'",336,35,Vagas,,,
10,ciandt,2021-02-10,"Saiba como a ConectCar Mobilidade Eletrônica S.A, empresa de meio de pagamento automático de mobilidade, reformulou toda a jornada de experiência do consumidor dentro do seu aplicativo e teve como um dos resultados a redução mais de 100% do custo de aquisição de cliente. Acesse o link para entender mais detalhes dessa mudança:#transformacaodigital #inovacao #jornadadoconsumidor'",109,3,Segmentos de Mercado,,,
11,ciandt,2021-02-03,"Esses são os três conceitos que fazem parte da fundação da verdadeira cultura digital nas empresas. Em sua palestra para o TDC 2020, Gustavo Concon, nosso CTO, falou sobre como a jornada da transformação digital não é rápida e muito menos acontece em eventos isolados, compartilhando o que acredita ser importante para ter uma empresa preparada para constantes mudanças, e com mecanismos que permitam velocidade com estabilidade. Acesse na íntegra em: https://lnkd.in/dbDad-J#transformacaodigital #culturatech #inovacao'",261,3,Transformação Digital,,,
12,ciandt,2021-01-27,"Junte-se a nós, em 27/1, no Festival Agile Trends. Nossa Gerente Sênior, Larissa Rosochansky, vai bater um papo (em inglês) sobre Transformação Digital e como ela se correlaciona com a automação, detalhando cada etapa de como embarcar nesta jornada emocionante. Inscreva-se gratuitamente em: https://lnkd.in/dhv7DeB#transformacaodigital #agile #agiletrends'",129,0,Transformação Digital,,,
13,ciandt,2020-12-19,"Ser protagonista da sua jornada é assumir responsabilidade por suas escolhas diante das oportunidades e desafios. Para alcançar o verdadeiro empoderamento, é preciso desenvolver o autoconhecimento. Entendendo sua história, você será capaz de dirigir sua carreira para alavancar seus desejos e objetivos. Essas são apenas algumas dicas para você iniciar o seu processo, outras atitudes para continuar transformando seu caminho profissional você encontra em nosso ebook: https://lnkd.in/dbcnWnP#carreira #protagonismo #autoconhecimento'",112,1,Variados,,,
14,ciandt,2020-12-19,"Esses são alguns tipos de vieses inconscientes que nos formam em maior ou menor medida. Saber identificá-los é essencial para olharmos, sem julgamentos, para uma nova realidade, adotando uma postura aberta e respeitosa. Atitudes como essa fazem parte de um conjunto de ações que vão fazer você se destacar profissionalmente no novo mundo. Descubra e transforme-se hoje na pessoa que você quer ser amanhã acessando o nosso e-book: https://midi.as/2r83.#diversity #viesinconsciente #peopleready'",123,5,Diversidade,,,
15,ciandt,2020-12-19,"As seis regras de ouro do Kaizen é uma importante ferramenta para destravar a habilidade da empatia e fomentar o que chamamos de inteligência coletiva. Essa possibilidade de trocas, aprendizados e ampliação de visões de mundo a partir do olhar do outro é de enorme valor para atender às necessidades de públicos mais diversos e criar uma colaboração real. Essa sensibilidade deve ser uma premissa essencial da sua carreira, principalmente para construir os caminhos do amanhã. Para saber mais, acesse o nosso e-book: https://lnkd.in/dbcnWnP#kaizen #peopleready #empatia'",125,4,Marca,,,
16,ciandt,2021-02-03,"Acreditamos no poder da diversidade para o desenvolvimento de um ambiente mais criativo e, por consequência, mais inovador. Buscamos sempre aprender, nos desenvolver e nos conscientizar para continuar construindo times mais plurais e, mais do que isso, proporcionar segurança para todas as nossas pessoas serem quem são. No Dia Nacional da Visibilidade Trans, contamos um pouco do que já fizemos e estamos fazendo para promover a diversidade e a inclusão aqui na CI&T, acesse: #diadavisibilidadetrans #diversidade #diversidadeeinclusao'",303,8,Diversidade,,,
17,ciandt,2020-12-19,"Dia 3 de dezembro estaremos com um grande time de palestrantes na sala exclusiva da CI&T na edição Porto Alegre do TDC, trazendo aprendizados e descobertas que vão ajudar a desenvolver ainda mais a sua jornada de conhecimento! Renato Macedo, Eduardo Sangion, Greg Lopes e Marília Varoni + Alessandra Peguim Rosa esperam você! Inscreva-se gratuitamente e participe: https://lnkd.in/dbSfGHF'",99,2,Diversidade,,,
18,ciandt,2020-11-19,"Conheça nosso time especial de palestrantes que farão parte do primeiro dia (02/12) da sala exclusiva da CI&T no TDC Porto Alegre: Solange Aguilera, Vinicius Lucas e Ivan Neves, Ana Cristina Teixeira e Guilherme Viana C. Amorim. Habilidades profissionais, iniciativas para o seu desenvolvimento e adaptabilidade estarão em pauta! Inscreva-se gratuitamente e saiba como transformar a sua carreira no mundo tech: https://lnkd.in/dbSfGHF'",91,8,Segmentos de Mercado,,,
19,ciandt,2020-12-19,"No dia 4 de dezembro encerraremos o TDC Porto Alegre com conteúdos de impacto em nossa sala exclusiva. Tiago, Gisely, Cledson e Marostegam serão nossos palestrantes e trarão nossos aprendizados com times ágeis, acessibilidade digital e cases exclusivos. Faça parte desse universo! Inscreva-se gratuitamente: https://lnkd.in/dbSfGHF'",57,0,Eventos,,,
20,ciandt,2020-12-19,"Agir a favor da valorização humana, contribuir para um ambiente diverso e seguro e construir coletivamente, são algumas das características que compõem as profissões do futuro. Cada pessoa precisa estar preparada para liderar sua própria jornada e agir em cenários de constante mudança. Em nosso ebook, traduzimos esses e outros conceitos que vão te ajudar a refletir e se tornar protagonista da sua carreira. Acesse: https://midi.as/pb83#carreira #protagonismo'",86,0,Carreira,,,
21,ciandt,2021-01-18,"""Watch the latest video from our Leader Insight Series, featuring Coca-Cola's Adriana Knackfuss and CI&T's Fernando Ostanelli. The discussion focuses on how organizations can build better customer experiences in a post-pandemic world. Learn more: http://bit.ly/35FUsU0""",66,1,Variados,,,
22,ciandt,2021-01-18,"Ao longo dos nossos 25 anos de história mergulhados nas áreas de Lean, Tecnologia, Design e Negócios, construímos e combinamos diversas ferramentas e metodologias capazes de criar histórias ricas, desafiadoras e poderosas em curtos períodos de tempo. Por acreditarmos no poder transformador dessas experiências, chegou a hora de compartilhar nossos conhecimentos. Confira a nossa primeira Masterclass Transformation Stack: com seis horas de conteúdo, dividida em três módulos e ministrada por sete experts da CI&T, você vai desbloquear seu potencial de negócios em áreas como Business Strategy, Discovery e Operational Experience. Saiba mais em: https://lnkd.in/dZWPvRe#masterclass #leandigital #transformacaodigital'",153,12,Segmentos de Mercado,,,
