id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,,,
30,dextra-digital,,2020-10-02,Perdeu o DevCamp Live ou quer rever algum conteúdo?Já tá tudo disponível no nosso canal do YouTube!👉 Acesse: https://lnkd.in/gxRpeum... e veja tudo o que rolou!#DevCampLive',33,0,710,#DevCampLive',linkedin,,,
33,dextra-digital,,2020-10-02,"Foram 4 dias, 4 trilhas e muuuito conteúdo f***!O DevCamp Live saiu como esperado: um grande sucesso 🤩MUITO obrigado a todos que acompanharam e interagiram com a gente!E aí, conta pra gente qual foi o momento mais marcante pra você?'",76,0,1304,,linkedin,,,
55,dextra-digital,,2020-10-02,"A infinidade de possibilidades trazidas pelo mundo VUCA colocam cada vez mais a criação de produtos digitais em posição de destaque no mundo dos negócios. Entender esse novo paradigma de forma escalável e aproveitando ao máximo os dados dos seus clientes é essencial no processo. 👉 Confira esse bate-papo com o nosso Diretor de Inovação Bill Coutinho, Dimas Lima - Data Scientist at Globo.com, Fabiano Santos - Especialista de Machine Learning do iFood, Renato Peixe - Product Manager do iFood e Ana Cristine Veneziane - Head of Growth Product na Dextra Digital: https://lnkd.in/ehYFXaX'",35,0,0,,linkedin,,,
76,dextra-digital,,2020-10-02,"E aí, quem já tá com saudade do DevCamp Live? A gente já tá querendo mais!Se você perdeu ou quer rever o que rolou, vem pro nosso canal do YouTube!Confira como foi o primeiro dia, com a trilha DevRoots:'",23,0,0,,linkedin,,,
79,dextra-digital,,2020-10-02,"Construir a evolução de um produto digital não é uma tarefa simples!Quando se trata de desenvolvimento tecnológico, produtos digitais precisam continuar evoluindo e melhorando sempre. A absorção de dados de forma estratégica e escalável se tornam essenciais nesse processo.Confira como o Growth-Driven Design pode auxiliar nessa missão: https://lnkd.in/diyJBdn'",43,0,0,,linkedin,,,
81,dextra-digital,,2020-10-02,"Se você quer garantir de fato total integridade das informações, é legal você saber como criptografar e descriptografar uma mensagem utilizando o GPG. Nosso desenvolvedor, Leonardo Stati, escreveu uma matéria para o nosso blog e explicou como funciona na prática.Veja em: https://lnkd.in/gcCz-EG'",50,0,0,,linkedin,,,
85,dextra-digital,,2020-10-02,"É sobre criar soluções em conjunto. É usar a tecnologia para impactar o mundo. E aí, tem coragem?O evento é aberto para todo mundo!Entre no nosso Discord. Vamos construir juntos. Vamos fazer transformação.'",65,0,0,,linkedin,,,
89,dextra-digital,,2020-10-02,"Será dada a largada!!Amanhã começa nossa jornada DevCamp Live! Será o primeiro de 4 dias de muito conhecimento, técnica e inspiração para quem é ligado no mundo da tecnologia. Saiba mais sobre o evento nessa matéria publicada pela EXAME e inscreva-se: https://lnkd.in/d8MzcQp#DevCampLive'",40,0,0,#DevCampLive',linkedin,,,
107,dextra-digital,,2020-10-02,Entre no nosso Discord. Vamos fazer parte do Hacktober Fest juntos? Inscreva-se na nossa reunião!',26,0,0,,linkedin,,,
119,dextra-digital,,2020-10-02,"O DevCamp está chegando em sua primeira edição 100% online e gratuita. São 4 dias, 4 trilhas e + de 12 horas de conteúdo para quem é apaixonado por tecnologia, inovação, design e tendências da área de TI. Se inscreva gratuitamente: #DevcampliveMutantInteraxaZOLYMyra'",29,0,0,#DevcampliveMutantInteraxaZOLYMyra',linkedin,,,
