id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,tipo,modelo,assunto,language
0,softexnacional,,2020-11-19,"É amanhã, participe!!'",1,1,0,,linkedin,,,,pt
1,bairesdev,,2020-11-19,Welcome aboard!Arthur Pesco - Antonio Gloria - Ernesto Hernandez - Alexandre Shimono - Matheus Lisboa de Barros#NewTeam',43,2,0,#NewTeam',linkedin,,,,en
2,bairesdev,,2020-11-19,"Don’t miss the opportunity to become our partner. It’s simple, just introduce a contact with Software Development needs, and if we start working on a project with them, you get a commission on our business with that company.Find out more: https://lnkd.in/dSvGVgC#Partners #SoftwareDevelopment'",19,1,0,"#Partners, #SoftwareDevelopment'",linkedin,,,,en
1,hexacta,,2020-11-19,"As a custom software company, we adopt good practices during the development process to ensure data is protected and securely stored with minimal risk of threat. #software #outsourcing'",0,0,0,"#software, #outsourcing'",linkedin,,,,en
0,globant,,2020-11-18,"🎮¿Quieres saber cómo se crean los videojuegos? 🎮Únete a esta charla junto a Lucia Lauria y George Taylor y descubre las bases que todo developer debe conocer. ⚡Hablaremos sobre #Unity, #Unreal, #Lumberyard, #Frostbite, #Dunia, #Anvil y cómo el estudio de Gaming utiliza estas herramientas para ayudar a nuestros clientes en el diseño y desarrollo de juegos de calidad AAA.Regístrate aquí 👉 https://bit.ly/3nBRpmp'",82,2,0,"#Unity,, #Unreal,, #Lumberyard,, #Frostbite,, #Dunia,, #Anvil",linkedin,técnico,webinar,Developer,es
1,globant,,2020-11-18,"""On December 10 Linda Rottenberg, Shari Loessberg, THE EDGE 2, Anuj Mehrotra, and the rest of the global judging panel will face the hard task of choosing the winners of the #GlobantAwards #WomenThatBuild out of thousands of impressive candidates! Don't miss the live broadcast, register now! 👉 https://bit.ly/2ZFgpQ9""",36,0,0,"#GlobantAwards, #WomenThatBuild",linkedin,branding,premiações,Women empowering,en
3,globant,,2020-11-18,"Are you ready to unlock your future and grow in your professional career?⚡If your answer is yes, we would like to meet you. Globant Career Week is an online event that consists of various steps and interviews in which different aspects are evaluated, such as your technical abilities and English level. Join us and get ready to be part of our team! 👨\u200d💻👩\u200d💻Sign up here 👉 https://bit.ly/3pFPI98#TalentDay #Opentowork #Jobsopportunities'",212,8,0,"#TalentDay, #Opentowork, #Jobsopportunities'",linkedin,employer branding,evento,Abertura de Vagas,en
5,globant,,2020-11-18,"Este miércoles 18 de noviembre, Patricia Pomies, Chief Delivery & People Officer de Globant, estará presente en Mujeres Lideres, El Poder Transformador. Un nuevo encuentro organizado por La Nacion donde especialistas hablarán sobre el empoderamiento, la integración, el talento y mucho más. Inscribite aquí 👉 https://lnkd.in/dMpiMdx #WomenThatBuild'",49,0,0,#WomenThatBuild',linkedin,branding,webinar,Women empowering,es
6,globant,,2020-11-18,"Learn the keys to boosting your Customer Experience in a touchless economy in our upcoming webinar this Thursday, November 19th. Register here 👉 https://bit.ly/3lGo0GU'",40,0,0,,linkedin,negócios,webinar,Customer Experience,en
8,globant,,2020-11-18,"Na última semana, nosso Diretor Geral da Globant Brasil Alexandre Thomaz participou do programa Papo Fácil com o querido jornalista Flavio Xandó.Durante o bate-papo, Alexandre teve a oportunidade de apresentar alguns cases de inovação, IA e hiperpersonalização, e soluções e iniciativas que levaram a Globant a ser reconhecida como líder mundial em melhoria de Costumer Experience pela IDC MarketScape.Para fechar com chave de ouro, a dupla contou também sobre o Women That Build, uma iniciativa do programa Be Kind que aborda iniciativas de diversidade e inclusão.Confira 👉 https://bit.ly/3f9NXMI'",22,3,0,,linkedin,negócios,painel,Tendência sobre tecnologia ,pt
