id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,tipo,modelo,assunto,language,post_text_pt,,,,
1,bairesdev,,2020-11-19,Welcome aboard!Arthur Pesco - Antonio Gloria - Ernesto Hernandez - Alexandre Shimono - Matheus Lisboa de Barros#NewTeam',43,2,0,#NewTeam',linkedin,,,,en,Welcome aboard!Arthur Pesco - Antonio Gloria - Ernesto Hernandez - Alexandre Shimono - Matheus Lisboa de Barros#NewTeam',,,,
2,bairesdev,,2020-11-19,"Don’t miss the opportunity to become our partner. It’s simple, just introduce a contact with Software Development needs, and if we start working on a project with them, you get a commission on our business with that company.Find out more: https://lnkd.in/dSvGVgC#Partners #SoftwareDevelopment'",19,1,0,"#Partners, #SoftwareDevelopment'",linkedin,,,,en,"Não perca a oportunidade de se tornar nosso parceiro. É simples, basta introduzir um contato com as necessidades de Desenvolvimento de Software, e se começarmos a trabalhar em um projeto com eles, você ganha uma comissão pelo nosso negócio com aquela empresa. Saiba mais: https://lnkd.in/dSvGVgC#Partners # Desenvolvimento de software&#39;",,,,
3,bairesdev,,2020-11-18,"We are looking for Shopify Developers to join us!• 6+ years of experience working with different technologies.• 5+ years of experience working with Shopify technology.• Advanced English level.If you are interested, please click here and apply: https://lnkd.in/drByfWh #JobSearch #Shopify'",21,0,0,"#JobSearch, #Shopify'",linkedin,employer branding,post,Abertura de Vagas,en,"Estamos procurando desenvolvedores do Shopify para se juntar a nós! • Mais de 6 anos de experiência trabalhando com diferentes tecnologias. • Mais de 5 anos de experiência trabalhando com tecnologia Shopify. • Nível avançado de inglês. Se você estiver interessado, clique aqui e inscreva-se: https: //lnkd.in/drByfWh #JobSearch #Shopify &#39;",,,,
5,bairesdev,,2020-11-18,The future of retail is here. Discover the 6 trends that are reshaping the industry’s future and how can our developers revolutionize your business.https://lnkd.in/dXsJwqw',21,0,0,,linkedin,,,,en,O futuro do varejo está aqui. Descubra as 6 tendências que estão remodelando o futuro da indústria e como nossos desenvolvedores podem revolucionar seu negócio.https: //lnkd.in/dXsJwqw &#39,,,,
8,bairesdev,,2020-11-18,"The pandemic has pushed all industries towards digital acceleration, and marketers everywhere have increasingly adopted new technologies to meet the demands of the post-pandemic world. Learn more about the future of MarTech (aka marketing technology) in this article by Diego Espada, Head of PMO at BairesDev: https://lnkd.in/dQWvV7b#MarTech #Technology'",22,0,0,"#MarTech, #Technology'",linkedin,negócios,artigo,Post-Pandemic,en,"A pandemia empurrou todas as indústrias para a aceleração digital, e os profissionais de marketing em todos os lugares têm adotado cada vez mais novas tecnologias para atender às demandas do mundo pós-pandemia. Saiba mais sobre o futuro da MarTech (também conhecida como tecnologia de marketing) neste artigo de Diego Espada, chefe do PMO da BairesDev: https://lnkd.in/dQWvV7b#MarTech #Technology &#39;",,,,
4,bairesdev,,2020-11-17,Welcome to our newest team members.Cesar Olmeda - Harys Vizcaino - William Palacios - Francisco A. - Juan Carlos Martinez#NewTeam',76,3,0,#NewTeam',linkedin,,,,en,Bem-vindo aos nossos mais novos membros. Cesar Olmeda - Harys Vizcaino - William Palacios - Francisco A. - Juan Carlos Martinez # NewTeam &#39,,,,
6,bairesdev,,2020-11-17,"We are looking for Python Developers to join our team!• 5+ years of practical experience in Python and Django development.• 3+ years of development using other programming languages.• Experience in development with object-oriented programming is desirable.• Good skills with XML and relational databases (Oracle / MS SQL / MySQL).• Strong professional experience working with large data structures and algorithms.If you are interested, please click here and apply: https://lnkd.in/gty2DCr#JobSearch #Python'",37,3,0,"#JobSearch, #Python'",linkedin,employer branding,post,Abertura de Vagas,en,"Estamos à procura de desenvolvedores Python para se juntarem à nossa equipe! • 5+ anos de experiência prática em desenvolvimento Python e Django. • 3+ anos de desenvolvimento usando outras linguagens de programação. • Experiência em desenvolvimento com programação orientada a objetos é desejável. • Boas habilidades com XML e bancos de dados relacionais (Oracle / MS SQL / MySQL). • Forte experiência profissional trabalhando com grandes estruturas de dados e algoritmos. Se você estiver interessado, clique aqui e inscreva-se: https://lnkd.in/gty2DCr#JobSearch #Python &#39;",,,,
7,bairesdev,,2020-11-16,"""Our employees' stories inspire us. Discover how Carolina found the perfect balance in BairesDev achieving professional goals while accomplishing her personal dream of traveling around the world.2020 has been a tough year for traveling and relocation opportunities, but we look forward to going back to normal and doing it soon!#Employee #Testimonials""",33,2,0,"#Employee, #Testimonials""",linkedin,,,,en,"&quot;As histórias dos nossos funcionários inspiram-nos. Descubra como Carolina encontrou o equilíbrio perfeito na BairesDev para alcançar objetivos profissionais e realizar o seu sonho pessoal de viajar pelo mundo. 2020 tem sido um ano difícil para viagens e oportunidades de relocalização, mas estamos ansiosos para voltar ao normal e em breve! #Employee #Testemunhos &quot;",,,,
9,bairesdev,,2020-11-16,We partnered with Google and provided experts in Software and Automation Engineering to ensure the quality of iOS Apps for some of their most relevant products.https://lnkd.in/ducqHdd',40,4,0,,linkedin,,,,en,Fizemos uma parceria com o Google e fornecemos especialistas em Engenharia de Software e Automação para garantir a qualidade dos Aplicativos iOS para alguns de seus produtos mais relevantes.https: //lnkd.in/ducqHdd &#39,,,,
11,bairesdev,,2020-11-14,"We are looking for Magento 2 Developers to join us!• 5+ years of experience in Magento.• Strong skills with PHP, JavaScript, HTML, CSS, and MySQL.• Solid knowledge of modern UI/UX trends.• Magento certification is a plus.• Advanced English level.If you are interested, please click here and apply: https://lnkd.in/dNyb87d#JobSearch #Magento2'",29,2,0,"#JobSearch, #Magento2'",linkedin,employer branding,post,Abertura de Vagas,en,"Estamos à procura de Magento 2 Developers para se juntar a nós! • Mais de 5 anos de experiência em Magento. • Fortes habilidades com PHP, JavaScript, HTML, CSS e MySQL. • Sólido conhecimento de tendências modernas de UI / UX. • A certificação Magento é um plus. • Nível avançado de inglês. Se você estiver interessado, clique aqui e inscreva-se: https://lnkd.in/dNyb87d#JobSearch # Magento2 &#39;",,,,
15,bairesdev,,2020-11-13,"""If you're looking to bring Big Data into your business, you should definitely take a look at this new list by Pablo Chamorro, BairesDev's Chief Revenue Officer.Read more: https://lnkd.in/dCTEbw3#SAP #BigData""",26,1,0,"#SAP, #BigData""",linkedin,,,,en,"&quot;Se você deseja trazer Big Data para o seu negócio, com certeza deveria dar uma olhada nesta nova lista de Pablo Chamorro, Diretor de Receita da BairesDev. Leia mais: https://lnkd.in/dCTEbw3#SAP #BigData&quot;",,,,
