id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,language,post_text_pt,,,
72,bairesdev,,2020-04-08,"Our CTO, Pablo Azorin talks about how for BairesDev, business remains as usual. A great perk of working smart and leveraging the power of distributed teams!https://lnkd.in/eAkV9VS#WorkFromHome #HomeOffice #BusinessAsUsualAtBD'",276,5,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD'",linkedin,en,"O nosso CTO, Pablo Azorin, fala sobre como para a BairesDev os negócios continuam normais. Uma grande vantagem de trabalhar de forma inteligente e aproveitar o poder de equipes distribuídas! Https: //lnkd.in/eAkV9VS#WorkFromHome #HomeOffice #BusinessAsUsualAtBD &#39;",,,
119,bairesdev,,2020-04-08,Nacho De Marco posted a new article analyzing the implications of the COVID-19 pandemic in the business world. Check it out here: https://lnkd.in/eTvkz4Y#Business #Future',70,1,0,"#Business, #Future'",linkedin,en,Nacho De Marco publicou um novo artigo analisando as implicações da pandemia COVID-19 no mundo dos negócios. Confira aqui: https://lnkd.in/eTvkz4Y#Business #Future &#39,,,
215,bairesdev,,2020-04-08,"""Nacho De Marco, BairesDev's CEO, shared some words regarding the COVID-19 pandemic, and how those fortunate enough to keep moving forward can collaborate to help those less fortunate. Continue reading here:#WorkFromHome #HomeOffice #BusinessAsUsualAtBD""",221,6,0,"#WorkFromHome, #HomeOffice, #BusinessAsUsualAtBD""",linkedin,en,"&quot;Nacho De Marco, CEO da BairesDev, compartilhou algumas palavras sobre a pandemia COVID-19 e como aqueles que têm a sorte de seguir em frente podem colaborar para ajudar os menos afortunados. Continue lendo aqui: #WorkFromHome #HomeOffice #BusinessAsUsualAtBD&quot;",,,
279,bairesdev,,2020-04-08,"""Pablo Chamorro, BairesDev's Chief Revenue Officer, wrote a piece on the role of motivation in the workplace. Find out more here: https://lnkd.in/eZYB-tM#Motivation #MotivationAtWork""",117,0,0,"#Motivation, #MotivationAtWork""",linkedin,en,"&quot;Pablo Chamorro, Chief Revenue Officer da BairesDev, escreveu um artigo sobre o papel da motivação no local de trabalho. Saiba mais aqui: https://lnkd.in/eZYB-tM#Motivation #MotivationAtWork&quot;",,,
288,bairesdev,,2020-04-08,Check out our new white paper on how AI can add value to your business. You can download it here: https://lnkd.in/e8jvEpt#ArtificialIntelligence #AI #Business',56,0,0,"#ArtificialIntelligence, #AI, #Business'",linkedin,en,Confira nosso novo white paper sobre como a IA pode agregar valor ao seu negócio. Você pode baixá-lo aqui: https://lnkd.in/e8jvEpt#ArtificialIntelligence #AI #Business &#39,,,
290,bairesdev,,2020-04-08,"In this article, Diego Espada, BairesDev’s Head of PMO, details the advantages of progressive apps: https://lnkd.in/ejJAE4Q#ProgressiveApps #PWAs'",63,0,0,"#ProgressiveApps, #PWAs'",linkedin,en,"Neste artigo, Diego Espada, chefe de PMO da BairesDev, detalha as vantagens de aplicativos progressivos: https://lnkd.in/ejJAE4Q#ProgressiveApps #PWAs &#39;",,,
299,bairesdev,,2020-04-08,"Emma White, BairesDev’s Business Development Manager, gives advice on strategies to improve the remote working experience: https://lnkd.in/eFkYa4y#RemoteWork #RemoteTeams'",81,2,0,"#RemoteWork, #RemoteTeams'",linkedin,en,"Emma White, gerente de desenvolvimento de negócios da BairesDev, dá conselhos sobre estratégias para melhorar a experiência de trabalho remoto: https://lnkd.in/eFkYa4y#RemoteWork #RemoteTeams &#39;",,,
301,bairesdev,,2020-04-08,Nacho De Marco wrote for Forbes Expert Panel analyzing the best way to incorporate machine learning and AI into your workflow: https://lnkd.in/g3cVXY9',46,0,0,,linkedin,en,Nacho De Marco escreveu para o Painel de especialistas da Forbes analisando a melhor maneira de incorporar aprendizado de máquina e IA em seu fluxo de trabalho: https://lnkd.in/g3cVXY9 &#39,,,
317,bairesdev,,2020-04-08,Nacho De Marco has participated in a new edition of Forbes Expert Panel discussing crucial tips for CIOS. Learn more here: https://lnkd.in/eWXZAXw',51,1,0,,linkedin,en,Nacho De Marco participou de uma nova edição do Forbes Expert Panel discutindo dicas cruciais para CIOS. Saiba mais aqui: https://lnkd.in/eWXZAXw &#39,,,
384,bairesdev,,2020-04-08,"iWave shared this video where they present their unique platform to assist non-profit, higher ed and healthcare foundations. We have partnered with them to work on the development of essential improvements for the backend building a more robust and future-proof application that optimizes their workflow and efficiency.#SoftwareDevelopment'",11,0,0,#SoftwareDevelopment',linkedin,en,"iWave compartilhou este vídeo onde eles apresentam sua plataforma única para ajudar fundações sem fins lucrativos, de educação superior e de saúde. Fizemos uma parceria com eles para trabalhar no desenvolvimento de melhorias essenciais para o back-end, criando um aplicativo mais robusto e preparado para o futuro que otimiza seu fluxo de trabalho e eficiência. # SoftwareDevelopment &#39;",,,
