id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin
0,globant,,2021-03-05,"'El próximo #8marzo tenemos una cita con #GirlsinTechSpain. No te pierdas el evento ""Mujeres en #Tecnología: Re-escribiendo la Historia"". Con la colaboración de #Globant.¡Consigue tu entrada aquí! https://bit.ly/3uYE1xe#8MarzoReescribeLaHistoria #MujeresTech #8M'",124,4,0,"#8marzo, #GirlsinTechSpain., #Tecnología:, #Globant.¡Consigue, #8MarzoReescribeLaHistoria, #MujeresTech, #8M'",linkedin
1,globant,,2021-03-05,,0,0,0,,linkedin
2,globant,,2021-03-04,"""Let's dive a little bit into the past! #Tbt#Shoutout to this amazing memory 🔴🟠🟡🟢🔵🟣Working & having fun is part of our culture and this colorful ball pit was not an exception! 🏊\u200d♂️Do you know when & in which city these pictures were taken? 📍Tell us in the comments below#18YearsGlobant #tbtphoto #throwbackpost #Globant #technologysolutions""",325,13,0,"#Tbt#Shoutout, #18YearsGlobant, #tbtphoto, #throwbackpost, #Globant, #technologysolutions""",linkedin
3,globant,,2021-03-02,"""We are here to celebrate one of the most powerful forces: women. Last year, with the #WomenThatBuild #GlobantAwards, we sought to inspire more women to pursue STEAM careers. This #WomenMonth, we are going to introduce you to some of the most amazing women in the IT world. Let's build a better and more equal society!  http://bit.ly/3q9ooz6#InspiringStories""",154,2,0,"#WomenThatBuild, #GlobantAwards,, #WomenMonth,, #InspiringStories""",linkedin
4,globant,,2021-03-02,"""💥Take a look at this week's events and boost your career with us! 💥Check out the registration links for each of them ⬇️Talent Day Uruguay - Chile: http://bit.ly/2OY6h2j Talent Day Brazil: https://lnkd.in/eiN7-EY Bonus Track!⭐Talent Day Cali: https://bit.ly/3dFO2ZK Talent Day Monterrey: https://bit.ly/2P3xn8e Join us!#TalentDayUruguay #TalentDayChile #TalentDayBrasil #GlobantBrasil #TalentDayCali #TalentDayMonterrey""",58,0,0,"#TalentDayUruguay, #TalentDayChile, #TalentDayBrasil, #GlobantBrasil, #TalentDayCali, #TalentDayMonterrey""",linkedin
5,globant,,2021-03-03,"'Quer crescer profissionalmente e desenvolver sua carreira na Globant?🤩Queremos conhecer pessoas talentosas e com muita vontade de aprender, o Globant Talent Day é um processo seletivo com diversos circuitos em que são avaliadas diferentes áreas, como habilidades técnicas e nível de inglês.Você está pronto para chegar à final e ter a oportunidade de se juntar ao nosso time?INSCREVER-SE! 👉 https://bit.ly/2Pg2Owl#TalentDayBrasil #Jobs #GlobantBrasil'",3,0,0,"#TalentDayBrasil, #Jobs, #GlobantBrasil'",linkedin
6,globant,,2021-03-03,'¡Se acerca lo que estabas esperando!Aprende a crear estrategias y conoce las nuevas tendencias de la industria digital. Globant reúne a expertos en tecnología y plataformas de experiencia digital en DXP NXT¡No dejes pasar esta gran oportunidad!Conoce nuestros speakers:  https://bit.ly/2NXtMIN #Technology #DXPNXT #Trends',76,0,0,"#Technology, #DXPNXT, #Trends'",linkedin
7,globant,,2021-02-26,"'Conhece alguém que tem tudo a ver com a descrição, marque esta pessoa aqui nos comentários.⚡👨\u200d💻👩\u200d💻 Junte-se a nós👉 http://bit.ly/37MU1Zg #ProudToBeGlober #Globant #GlobantBrasil #Carrer #QueroSerGlober #VemSerGlobant #MarianaRibeiro'",17,0,0,"#ProudToBeGlober, #Globant, #GlobantBrasil, #Carrer, #QueroSerGlober, #VemSerGlobant, #MarianaRibeiro'",linkedin
8,globant,,2021-03-02,"'We are excited to announce the acquisition of CloudShift Group, a UK-based award-winning platinum Salesforce partner and the newest member of the Globant family. We are excited to have this highly innovative and agile company as part of our team and to expand our presence throughout Europe, consolidating a global team with the best talent in the world.  http://bit.ly/3uJubPzWelcome aboard!'",819,25,0,,linkedin
9,globant,,2021-03-04,"'Get to know the winner of the Rising Star Award of the #WomenThatBuild #GlobantAwards, Sindey Carolina Bernal, and learn how she became one of the top 10 young tech leaders of Colombia. #InspiringStories #WomenMonthhttps://bit.ly/3eeS7Vn'",42,0,0,"#WomenThatBuild, #GlobantAwards,, #InspiringStories, #WomenMonthhttps://bit.ly/3eeS7Vn'",linkedin
10,globant,,2021-03-02,"'Here’s the first trend that will be a key differentiator in your success in 2021: Humanizing AI experiences as engagement. This is very important because people experience and feel as if they were interacting with an actual human being. 👉To know more about it, you can read Globant’s full report: http://bit.ly/3bVSVf4#TechTrends #AI #Innovation #Technology #Business #NewBusiness'",89,0,0,"#TechTrends, #AI, #Innovation, #Technology, #Business, #NewBusiness'",linkedin
11,globant,,2021-03-04,"'""Durante 2020 se entregaron diariamente una media de 150 millones de paquetes. Sólo una #logística inteligente, integrada, eficiente y #sostenible pudo hacer esto posible.""Christian Requena Penat - Managing Director para España de Globant - analiza para Diario ABC los desafíos post-COVID en la logística de la #últimamilla. https://bit.ly/3qc5mIt#retail #ecommerce #transformacióndigital #digitalización'",70,0,0,"#logística, #sostenible, #últimamilla., #retail, #ecommerce, #transformacióndigital, #digitalización'",linkedin
12,globant,,2021-03-02,"""What's the secret sauce of #businessgrowth? How do we connect with #customers? Stuart Deignan - UK Managing Director at Globant - unveils in this interview the secrets to connect with your customers, the kind of clients #Globant is working with in the #UK and much more!Read the full interview here! https://bit.ly/3sCCJWH#BusinessStrategy #StayRelevant #DigitalTransformation #Growth""",87,0,0,"#businessgrowth?, #customers?, #Globant, #UK, #BusinessStrategy, #StayRelevant, #DigitalTransformation, #Growth""",linkedin
13,globant,,2021-03-03,"'""For real change, we have to be mentoring girls in middle school and high school about tech"" Vidya Narayanan Co-Founder and CEO of Rizzle. Listen to her talk about the importance of inspiring women to enter the IT world. #WomenThatBuild #WomenMonthhttps://bit.ly/30ahHlS'",37,0,0,"#WomenThatBuild, #WomenMonthhttps://bit.ly/30ahHlS'",linkedin
